_year,0,1,2,3,4,5,6,7,8
2020,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0,0.5,0.0625
2021,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2022,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,0.6818181818181818,0.045454545454545456
2023,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.5,0.125
2024,0.10880272230679681,0.22208292289782394,0.1657562460822065,0.016118921823229156,0.06590848034387033,0.11095191188322737,0.04916271156084893,0.15223426166383094,0.10898182143816602
2025,0.10502024082716654,0.12626666322873423,0.14676533532733413,0.01567697186911791,0.07155196864605626,0.09424232266714798,0.10378258515328881,0.2349740865843282,0.10171982569682593
