post_id,vader_label,post_vader_score,avg_comment_vader_score
1coofjn,positive,1,0.23776223776223782
1itzo1c,positive,1,0.06443914081145585
1mrypnb,positive,1,0.2545454545454545
1hmqubh,positive,1,0.17991631799163182
1elxdys,positive,1,0.4449152542372881
1moi6nh,neutral,0,0.42105263157894735
1l6d9vx,positive,1,0.4
1ln5lx8,neutral,0,0.3469387755102041
1kd4iww,positive,1,0.3190184049079754
1mm3yli,positive,1,0.5
1obz21h,negative,-1,0.029527559055118113
1j2tg4v,positive,1,0.22857142857142854
1ohz5em,positive,1,0.2792792792792793
1bms3d0,positive,1,0.2894736842105263
1cd3tjm,negative,-1,0.2803347280334728
1fzzgzo,neutral,0,0.1740740740740741
1hw9vh2,positive,1,0.20634920634920634
1oup4d9,positive,1,-0.06944444444444448
1jr2g95,negative,-1,0.027522935779816515
1gdbitd,neutral,0,0.40540540540540543
1evkckl,neutral,0,0.25252525252525254
1mzw837,negative,-1,0.33544303797468356
1ogk7pq,positive,1,0.18604651162790703
1nyejar,negative,-1,0.3295454545454546
1lzhmtg,positive,1,0.10280373831775697
1m7r5jm,neutral,0,0.45714285714285713
1akcoq2,positive,1,0.4046692607003891
1jmb8az,negative,-1,-0.16349809885931554
1jrora1,negative,-1,0.17592592592592593
1g8ay2y,positive,1,0.29081632653061223
1ciy5nc,positive,1,0.07643312101910826
